diagnose_code,diagnose_description,diagnose_id
O358XX3,"Maternal care for oth fetal abnormality and damage, fetus 3 ",4
O358XX4,"Maternal care for oth fetal abnormality and damage, fetus 4 ",4
O358XX5,"Maternal care for oth fetal abnormality and damage, fetus 5 ",4
O358XX9,"Maternal care for oth fetal abnormality and damage, oth ",4
O359XX0,"Maternal care for fetal abnormality and damage, unsp, unsp ",4
O359XX1,"Maternal care for fetal abnlt and damage, unsp, fetus 1 ",4
O359XX2,"Maternal care for fetal abnlt and damage, unsp, fetus 2 ",4
O359XX3,"Maternal care for fetal abnlt and damage, unsp, fetus 3 ",4
O359XX4,"Maternal care for fetal abnlt and damage, unsp, fetus 4 ",4
O359XX5,"Maternal care for fetal abnlt and damage, unsp, fetus 5 ",4
O359XX9,"Maternal care for fetal abnormality and damage, unsp, oth ",4
O360110,"Maternal care for anti-D antibodies, first trimester, unsp ",4
O360111,"Maternal care for anti-D antibodies, first tri, fetus 1",4
O360112,"Maternal care for anti-D antibodies, first tri, fetus 2 ",4
O360113,"Maternal care for anti-D antibodies, first tri, fetus 3 ",4
O360114,"Maternal care for anti-D antibodies, first tri, fetus 4 ",4
O360115,"Maternal care for anti-D antibodies, first tri, fetus 5 ",4
O360119,"Maternal care for anti-D antibodies, first trimester, oth ",4
O360120,"Maternal care for anti-D antibodies, second trimester, unsp ",4
O360121,"Maternal care for anti-D antibodies, second tri, fetus 1 ",4
O360122,"Maternal care for anti-D antibodies, second tri, fetus 2 ",4
O360123,"Maternal care for anti-D antibodies, second tri, fetus 3 ",4
O360124,"Maternal care for anti-D antibodies, second tri, fetus 4 ",4
O360125,"Maternal care for anti-D antibodies, second tri, fetus 5 ",4
O360129,"Maternal care for anti-D antibodies, second trimester, oth ",4
O360130,"Maternal care for anti-D antibodies, third trimester, unsp ",4
O360131,"Maternal care for anti-D antibodies, third tri, fetus 1 ",4
O360132,"Maternal care for anti-D antibodies, third tri, fetus 2 ",4
O360133,"Maternal care for anti-D antibodies, third tri, fetus 3 ",4
O360134,"Maternal care for anti-D antibodies, third tri, fetus 4 ",4
O360135,"Maternal care for anti-D antibodies, third tri, fetus 5 ",4
O360139,"Maternal care for anti-D antibodies, third trimester, oth ",4
O360190,"Maternal care for anti-D antibodies, unsp trimester, unsp ",4
O360191,"Maternal care for anti-D antibodies, unsp trimester, fetus 1 ",4
O360192,"Maternal care for anti-D antibodies, unsp trimester, fetus 2 ",4
O360193,"Maternal care for anti-D antibodies, unsp trimester, fetus 3 ",4
O360194,"Maternal care for anti-D antibodies, unsp trimester, fetus 4 ",4
O360195,"Maternal care for anti-D antibodies, unsp trimester, fetus 5 ",4
O360199,"Maternal care for anti-D antibodies, unsp trimester, oth ",4
O360910,"Maternal care for oth rhesus isoimmun, first trimester, unsp ",4
O360911,"Maternal care for oth rhesus isoimmun, first tri, fetus 1 ",4
O360912,"Maternal care for oth rhesus isoimmun, first tri, fetus 2 ",4
O360913,"Maternal care for oth rhesus isoimmun, first tri, fetus 3 ",4
O360914,"Maternal care for oth rhesus isoimmun, first tri, fetus 4 ",4
O360915,"Maternal care for oth rhesus isoimmun, first tri, fetus 5 ",4
O360919     ,"Maternal care for oth rhesus isoimmun, first trimester, oth ",4
O360920     ,"Maternal care for oth rhesus isoimmun, second tri, unsp ",4
O360921     ,"Maternal care for oth rhesus isoimmun, second tri, fetus 1",4
O360922,"Maternal care for oth rhesus isoimmun, second tri, fetus 2 ",4
O360923,"Maternal care for oth rhesus isoimmun, second tri, fetus 3 ",4
O360924,"Maternal care for oth rhesus isoimmun, second tri, fetus 4 ",4
O360925,"Maternal care for oth rhesus isoimmun, second tri, fetus 5 ",4
O360929,"Maternal care for oth rhesus isoimmun, second trimester, oth ",4
O360930,"Maternal care for oth rhesus isoimmun, third trimester, unsp ",4
O360931,"Maternal care for oth rhesus isoimmun, third tri, fetus 1 ",4
O360932,"Maternal care for oth rhesus isoimmun, third tri, fetus 2 ",4
O360933,"Maternal care for oth rhesus isoimmun, third tri, fetus 3 ",4
O360934,"Maternal care for oth rhesus isoimmun, third tri, fetus 4 ",4
O360935,"Maternal care for oth rhesus isoimmun, third tri, fetus 5 ",4
O360939,"Maternal care for oth rhesus isoimmun, third trimester, oth ",4
O360990,"Maternal care for oth rhesus isoimmun, unsp trimester, unsp ",4
O360991,"Maternal care for oth rhesus isoimmun, unsp tri, fetus 1 ",4
O360992,"Maternal care for oth rhesus isoimmun, unsp tri, fetus 2 ",4
O360993,"Maternal care for oth rhesus isoimmun, unsp tri, fetus 3 ",4
O360994,"Maternal care for oth rhesus isoimmun, unsp tri, fetus 4 ",4
O360995,"Maternal care for oth rhesus isoimmun, unsp tri, fetus 5 ",4
O360999,"Maternal care for oth rhesus isoimmun, unsp trimester, oth ",4
O361110,"Maternal care for Anti-A sensitization, first tri, unsp",4
O361111,"Maternal care for Anti-A sensitization, first tri, fetus 1 ",4
O361112,"Maternal care for Anti-A sensitization, first tri, fetus 2 ",4
O361113,"Maternal care for Anti-A sensitization, first tri, fetus 3 ",4
O361114,"Maternal care for Anti-A sensitization, first tri, fetus 4 ",4
O361115,"Maternal care for Anti-A sensitization, first tri, fetus 5 ",4
O361119,"Maternal care for Anti-A sensitization, first trimester, oth ",4
O361120,"Maternal care for Anti-A sensitization, second tri, unsp ",4
O361121,"Maternal care for Anti-A sensitization, second tri, fetus 1 ",4
O361122,"Maternal care for Anti-A sensitization, second tri, fetus 2 ",4
O361123,"Maternal care for Anti-A sensitization, second tri, fetus 3 ",4
O361124,"Maternal care for Anti-A sensitization, second tri, fetus 4 ",4
O361125,"Maternal care for Anti-A sensitization, second tri, fetus 5 ",4
O361129,"Maternal care for Anti-A sensitization, second tri, oth ",4
O361130,"Maternal care for Anti-A sensitization, third tri, unsp ",4
O361131,"Maternal care for Anti-A sensitization, third tri, fetus 1 ",4
O361132,"Maternal care for Anti-A sensitization, third tri, fetus 2 ",4
O361133,"Maternal care for Anti-A sensitization, third tri, fetus 3 ",4
O361134,"Maternal care for Anti-A sensitization, third tri, fetus 4 ",4
O361135,"Maternal care for Anti-A sensitization, third tri, fetus 5 ",4
O361139,"Maternal care for Anti-A sensitization, third trimester, oth ",4
O361190,"Maternal care for Anti-A sensitization, unsp trimester, unsp ",4
O361191,"Maternal care for Anti-A sensitization, unsp tri, fetus 1 ",4
O361192,"Maternal care for Anti-A sensitization, unsp tri, fetus 2 ",4
O361193,"Maternal care for Anti-A sensitization, unsp tri, fetus 3 ",4
O361194,"Maternal care for Anti-A sensitization, unsp tri, fetus 4 ",4
O361195,"Maternal care for Anti-A sensitization, unsp tri, fetus 5 ",4
O361199,"Maternal care for Anti-A sensitization, unsp trimester, oth ",4
O361910,"Maternal care for oth isoimmunization, first trimester, unsp ",4
O361911,"Maternal care for oth isoimmun, first trimester, fetus 1 ",4
O361912,"Maternal care for oth isoimmun, first trimester, fetus 2 ",4
O361913,"Maternal care for oth isoimmun, first trimester, fetus 3 ",4
O361914,"Maternal care for oth isoimmun, first trimester, fetus 4 ",4
O361915    ," Maternal care for oth isoimmun, first trimester, fetus 5 ",4
O361919    ," Maternal care for oth isoimmunization, first trimester, oth ",4
O361920     ,"Maternal care for oth isoimmun, second trimester, unsp ",4
O361921     ,"Maternal care for oth isoimmun, second trimester, fetus 1 ",4
O361922     ,"Maternal care for oth isoimmun, second trimester, fetus 2",4
O361923     ,"Maternal care for oth isoimmun, second trimester, fetus 3",4
O361924     ,"Maternal care for oth isoimmun, second trimester, fetus 4",4
O361925,"Maternal care for oth isoimmun, second trimester, fetus 5 ",4
O361929,"Maternal care for oth isoimmunization, second trimester, oth ",4
O361930,"Maternal care for oth isoimmunization, third trimester, unsp ",4
O361931,"Maternal care for oth isoimmun, third trimester, fetus 1 ",4
O361932,"Maternal care for oth isoimmun, third trimester, fetus 2 ",4
O361933,"Maternal care for oth isoimmun, third trimester, fetus 3 ",4
O361934,"Maternal care for oth isoimmun, third trimester, fetus 4 ",4
O361935,"Maternal care for oth isoimmun, third trimester, fetus 5 ",4
O361939,"Maternal care for oth isoimmunization, third trimester, oth ",4
O361990,"Maternal care for oth isoimmunization, unsp trimester, unsp ",4
O361991,"Maternal care for oth isoimmun, unsp trimester, fetus 1 ",4
O361992,"Maternal care for oth isoimmun, unsp trimester, fetus 2 ",4
O361993,"Maternal care for oth isoimmun, unsp trimester, fetus 3 ",4
O361994,"Maternal care for oth isoimmun, unsp trimester, fetus 4 ",4
O361995,"Maternal care for oth isoimmun, unsp trimester, fetus 5 ",4
O361999,"Maternal care for oth isoimmunization, unsp trimester, oth ",4
O3620X0,"Maternal care for hydrops fetalis, unsp trimester, unsp ",4
O3620X1,"Maternal care for hydrops fetalis, unsp trimester, fetus 1 ",4
O3620X2,"Maternal care for hydrops fetalis, unsp trimester, fetus 2 ",4
O3620X3,"Maternal care for hydrops fetalis, unsp trimester, fetus 3 ",4
O3620X4,"Maternal care for hydrops fetalis, unsp trimester, fetus 4 ",4
O3620X5,"Maternal care for hydrops fetalis, unsp trimester, fetus 5 ",4
O3620X9,"Maternal care for hydrops fetalis, unsp trimester, oth fetus ",4
O3621X0,"Maternal care for hydrops fetalis, first trimester, unsp ",4
O3621X1,"Maternal care for hydrops fetalis, first trimester, fetus 1 ",4
O3621X2,"Maternal care for hydrops fetalis, first trimester, fetus 2 ",4
O3621X3,"Maternal care for hydrops fetalis, first trimester, fetus 3 ",4
O3621X4,"Maternal care for hydrops fetalis, first trimester, fetus 4 ",4
O3621X5,"Maternal care for hydrops fetalis, first trimester, fetus 5 ",4
O3621X9,"Maternal care for hydrops fetalis, first trimester, oth ",4
O3622X0,"Maternal care for hydrops fetalis, second trimester, unsp ",4
O3622X1,"Maternal care for hydrops fetalis, second trimester, fetus 1 ",4
O3622X2    ," Maternal care for hydrops fetalis, second trimester, fetus 2 ",4
O3622X3     ," Maternal care for hydrops fetalis, second trimester, fetus 3",4
O3622X4    ," Maternal care for hydrops fetalis, second trimester, fetus 4",4
O3622X5    ," Maternal care for hydrops fetalis, second trimester, fetus 5",4
O3622X9     ,"Maternal care for hydrops fetalis, second trimester, oth ",4
O3623X0    ," Maternal care for hydrops fetalis, third trimester, unsp ",4
O3623X1     ,"Maternal care for hydrops fetalis, third trimester, fetus 1 ",4
O3623X2    ,"Maternal care for hydrops fetalis, third trimester, fetus 2",4
O3623X3     ,"Maternal care for hydrops fetalis, third trimester, fetus 3",4
O3623X4    ,"Maternal care for hydrops fetalis, third trimester, fetus 4",4
O3623X5     ,"Maternal care for hydrops fetalis, third trimester, fetus 5",4
O3623X9     ,"Maternal care for hydrops fetalis, third trimester, oth ",4
O364XX0    ,"Maternal care for intrauterine death, not applicable or unsp ",4
O364XX1    ,"Maternal care for intrauterine death, fetus 1",4
O364XX2,"Maternal care for intrauterine death, fetus 2",4
O364XX3,"Maternal care for intrauterine death, fetus 3 ",4
O364XX4,"Maternal care for intrauterine death, fetus 4 ",4
O364XX5,"Maternal care for intrauterine death, fetus 5 ",4
O364XX9,"Maternal care for intrauterine death, other fetus",4
O365110,"Matern care for known or susp placntl insuff, 1st tri, unsp ",4
O365111,"Matern care for known or susp placntl insuff, 1st tri, fts1 ",4
O365112,"Matern care for known or susp placntl insuff, 1st tri, fts2 ",4
O365113,"Matern care for known or susp placntl insuff, 1st tri, fts3 ",4
O365114,"Matern care for known or susp placntl insuff, 1st tri, fts4 ",4
O365115,"Matern care for known or susp placntl insuff, 1st tri, fts5 ",4
O365119,"Matern care for known or susp placntl insuff, first tri, oth ",4
O365120,"Matern care for known or susp placntl insuff, 2nd tri, unsp",4
O365121,"Matern care for known or susp placntl insuff, 2nd tri, fts1 ",4
O365122,"Matern care for known or susp placntl insuff, 2nd tri, fts2 ",4
O365123,"Matern care for known or susp placntl insuff, 2nd tri, fts3 ",4
O365124,"Matern care for known or susp placntl insuff, 2nd tri, fts4 ",4
O365125,"Matern care for known or susp placntl insuff, 2nd tri, fts5 ",4
O365129,"Matern care for known or susp placntl insuff, 2nd tri, oth ",4
O365130,"Matern care for or susp placntl insuff, third tri, unsp ",4
O365131,"Matern care for or susp placntl insuff, third tri, fts1 ",4
O365132,"Matern care for or susp placntl insuff, third tri, fts2 ",4
O365133,"Matern care for or susp placntl insuff, third tri, fts3 ",4
O365134,"Matern care for or susp placntl insuff, third tri, fts4 ",4
O365135,"Matern care for or susp placntl insuff, third tri, fts5 ",4
O365139,"Matern care for known or susp placntl insuff, third tri, oth ",4
O365190,"Matern care for known or susp placntl insuff, unsp tri, unsp ",4
O365191,"Matern care for known or susp placntl insuff, unsp tri, fts1 ",4
O365192,"Matern care for known or susp placntl insuff, unsp tri, fts2 ",4
O365193,"Matern care for known or susp placntl insuff, unsp tri, fts3 ",4
O365194,"Matern care for known or susp placntl insuff, unsp tri, fts4 ",4
O365195,"Matern care for known or susp placntl insuff, unsp tri, fts5 ",4
O365199,"Matern care for known or susp placntl insuff, unsp tri, oth ",4
O365910,"Matern care for oth or susp poor fetl grth, 1st tri, unsp ",4
O365911,"Matern care for oth or susp poor fetl grth, 1st tri, fts1 ",4
O365912,"Matern care for oth or susp poor fetl grth, 1st tri, fts2 ",4
O365913,"Matern care for oth or susp poor fetl grth, 1st tri, fts3 ",4
O365914,"Matern care for oth or susp poor fetl grth, 1st tri, fts4 ",4
O365915,"Matern care for oth or susp poor fetl grth, 1st tri, fts5 ",4
O365919,"Matern care for oth or susp poor fetl grth, 1st tri, oth ",4
O365920,"Matern care for oth or susp poor fetl grth, 2nd tri, unsp ",4
O365921,"Matern care for oth or susp poor fetl grth, 2nd tri, fts1 ",4
O365922,"Matern care for oth or susp poor fetl grth, 2nd tri, fts2 ",4
O365923,"Matern care for oth or susp poor fetl grth, 2nd tri, fts3 ",4
O365924,"Matern care for oth or susp poor fetl grth, 2nd tri, fts4 ",4
O365925    ," Matern care for oth or susp poor fetl grth, 2nd tri, fts5 ",4
O365929     ,"Matern care for oth or susp poor fetl grth, 2nd tri, oth ",4
O365930     ,"Matern care for oth or susp poor fetl grth, third tri, unsp ",4
O365931     ,"Matern care for oth or susp poor fetl grth, third tri, fts1 ",4
O365932     ,"Matern care for oth or susp poor fetl grth, third tri, fts2",4
O365933     ,"Matern care for oth or susp poor fetl grth, third tri, fts3",4
O365934    ,"Matern care for oth or susp poor fetl grth, third tri, fts4",4
O365935    ,"Matern care for oth or susp poor fetl grth, third tri, fts5",4
O365939      ,"Matern care for oth or susp poor fetl grth, third tri, oth",4
O365990   ,"  Matern care for oth or susp poor fetl grth, unsp tri, unsp ",4
O365991      ,"Matern care for oth or susp poor fetl grth, unsp tri, fts1",4
O365992     ,"Matern care for oth or susp poor fetl grth, unsp tri, fts2",4
O365993   ,"Matern care for oth or susp poor fetl grth, unsp tri, fts3",4
O365994     ,"Matern care for oth or susp poor fetl grth, unsp tri, fts4",4
O365995     ,"Matern care for oth or susp poor fetl grth, unsp tri, fts5",4
O365999     ,"Matern care for oth or susp poor fetl grth, unsp tri, oth ",4
O3660X0    ,"Maternal care for excess fetal growth, unsp trimester, unsp ",4
O3660X1     ," Maternal care for excess fetal growth, unsp tri, fetus 1",4
O3660X2    ," Maternal care for excess fetal growth, unsp tri, fetus 2 ",4
O3660X3     ," Maternal care for excess fetal growth, unsp tri, fetus 3 ",4
O3660X4     ," Maternal care for excess fetal growth, unsp tri, fetus 4",4
O3660X5    ," Maternal care for excess fetal growth, unsp tri, fetus 5 ",4
O3660X9     ,"Maternal care for excess fetal growth, unsp trimester, oth ",4
O3661X0     ,"Maternal care for excess fetal growth, first trimester, unsp ",4
O3661X1     ,"Maternal care for excess fetal growth, first tri, fetus 1 ",4
O3661X2     ,"Maternal care for excess fetal growth, first tri, fetus 2 ",4
O3661X3   ," Maternal care for excess fetal growth, first tri, fetus 3",4
O3661X4,"Maternal care for excess fetal growth, first tri, fetus 4 ",4
O3661X5,"Maternal care for excess fetal growth, first tri, fetus 5 ",4
O3661X9,"Maternal care for excess fetal growth, first trimester, oth ",4
O3662X0,"Maternal care for excess fetal growth, second tri, unsp ",4
O3662X1,"Maternal care for excess fetal growth, second tri, fetus 1 ",4
O3662X2,"Maternal care for excess fetal growth, second tri, fetus 2 ",4
O3662X3,"Maternal care for excess fetal growth, second tri, fetus 3 ",4
O3662X4,"Maternal care for excess fetal growth, second tri, fetus 4 ",4
O3662X5,"Maternal care for excess fetal growth, second tri, fetus 5 ",4
O3662X9,"Maternal care for excess fetal growth, second trimester, oth ",4
O3663X0,"Maternal care for excess fetal growth, third trimester, unsp ",4
O3663X1,"Maternal care for excess fetal growth, third tri, fetus 1 ",4
O3663X2,"Maternal care for excess fetal growth, third tri, fetus 2 ",4
O3663X3,"Maternal care for excess fetal growth, third tri, fetus 3 ",4
O3663X4,"Maternal care for excess fetal growth, third tri, fetus 4 ",4
O3663X5,"Maternal care for excess fetal growth, third tri, fetus 5 ",4
O3663X9,"Maternal care for excess fetal growth, third trimester, oth ",4
O3670X0,"Maternal care for viable fetus in abd preg, unsp tri, unsp ",4
O3670X1,"Matern care for viable fetus in abd preg, unsp tri, fetus 1 ",4
O3670X2,"Matern care for viable fetus in abd preg, unsp tri, fetus 2 ",4
O3670X3,"Matern care for viable fetus in abd preg, unsp tri, fetus 3 ",4
O3670X4,"Matern care for viable fetus in abd preg, unsp tri, fetus 4",4
O3670X5,"Matern care for viable fetus in abd preg, unsp tri, fetus 5 ",4
O3670X9,"Maternal care for viable fetus in abd preg, unsp tri, oth ",4
O3671X0,"Maternal care for viable fetus in abd preg, first tri, unsp ",4
O3671X1,"Matern care for viable fetus in abd preg, first tri, fetus 1 ",4
O3671X2,"Matern care for viable fetus in abd preg, first tri, fetus 2 ",4
O3671X3,"Matern care for viable fetus in abd preg, first tri, fetus 3 ",4
O3671X4,"Matern care for viable fetus in abd preg, first tri, fetus 4 ",4
O3671X5,"Matern care for viable fetus in abd preg, first tri, fetus 5 ",4
O3671X9,"Maternal care for viable fetus in abd preg, first tri, oth ",4
O3672X0,"Maternal care for viable fetus in abd preg, second tri, unsp ",4
O3672X1     ,"Matern care for viable fetus in abd preg, second tri, fts1 ",4
O3672X2    ,"Matern care for viable fetus in abd preg, second tri, fts2",4
O3672X3    ,"Matern care for viable fetus in abd preg, second tri, fts3",4
O3672X4     ,"Matern care for viable fetus in abd preg, second tri, fts4",4
O3672X5     ,"Matern care for viable fetus in abd preg, second tri, fts5",4
O3672X9    ," Maternal care for viable fetus in abd preg, second tri, oth ",4
O3673X0     ,"Maternal care for viable fetus in abd preg, third tri, unsp ",4
O3673X1      ,"Matern care for viable fetus in abd preg, third tri, fetus 1",4
O3673X2 ,"Matern care for viable fetus in abd preg, third tri, fetus 2",4
O3673X3     ,"Matern care for viable fetus in abd preg, third tri, fetus 3 ",4
O3673X4     ,"Matern care for viable fetus in abd preg, third tri, fetus 4 ",4
O3673X5     ,"Matern care for viable fetus in abd preg, third tri, fetus 5 ",4
O3673X9     ,"Maternal care for viable fetus in abd preg, third tri, oth ",4
O3680X0    ,"Pregnancy w inconclusive fetal viability, unsp",4
O3680X1,"Pregnancy with inconclusive fetal viability, fetus 1",4
O3680X2,"Pregnancy with inconclusive fetal viability, fetus 2 ",4
O3680X3,"Pregnancy with inconclusive fetal viability, fetus 3 ",4
O3680X4,"Pregnancy with inconclusive fetal viability, fetus 4 ",4
O3680X5,"Pregnancy with inconclusive fetal viability, fetus 5 ",4
O3680X9,"Pregnancy with inconclusive fetal viability, other fetus ",4
O368120,"Decreased fetal movements, second trimester, unsp ",4
O368121,"Decreased fetal movements, second trimester, fetus 1 ",4
O368122,"Decreased fetal movements, second trimester, fetus 2 ",4
O368123,"Decreased fetal movements, second trimester, fetus 3 ",4
O368124,"Decreased fetal movements, second trimester, fetus 4 ",4
O368125,"Decreased fetal movements, second trimester, fetus 5 ",4
O368129,"Decreased fetal movements, second trimester, other fetus",4
O368130,"Decreased fetal movements, third trimester, unsp ",4
O368131,"Decreased fetal movements, third trimester, fetus 1 ",4
O368132,"Decreased fetal movements, third trimester, fetus 2 ",4
O368133,"Decreased fetal movements, third trimester, fetus 3 ",4
O368134,"Decreased fetal movements, third trimester, fetus 4 ",4
O368135,"Decreased fetal movements, third trimester, fetus 5 ",4
O368139,"Decreased fetal movements, third trimester, other fetus ",4
O368190,"Decreased fetal movements, unsp trimester, unsp ",4
O368191,"Decreased fetal movements, unspecified trimester, fetus 1 ",4
O368192,"Decreased fetal movements, unspecified trimester, fetus 2 ",4
O368193,"Decreased fetal movements, unspecified trimester, fetus 3 ",4
O368194,"Decreased fetal movements, unspecified trimester, fetus 4 ",4
O368195,"Decreased fetal movements, unspecified trimester, fetus 5 ",4
O368199,"Decreased fetal movements, unsp trimester, other fetus ",4
O368210,"Fetal anemia and thrombocytopenia, first trimester, unsp ",4
O368211,"Fetal anemia and thrombocytopenia, first trimester, fetus 1 ",4
O368212,"Fetal anemia and thrombocytopenia, first trimester, fetus 2 ",4
O368213,"Fetal anemia and thrombocytopenia, first trimester, fetus 3 ",4
O368214,"Fetal anemia and thrombocytopenia, first trimester, fetus 4 ",4
O368215,"Fetal anemia and thrombocytopenia, first trimester, fetus 5 ",4
O368219,"Fetal anemia and thrombocytopenia, first trimester, oth",4
O368220,"Fetal anemia and thrombocytopenia, second trimester, unsp ",4
O368221,"Fetal anemia and thrombocytopenia, second trimester, fetus 1 ",4
O368222,"Fetal anemia and thrombocytopenia, second trimester, fetus 2 ",4
O368223,"Fetal anemia and thrombocytopenia, second trimester, fetus 3 ",4
O368224,"Fetal anemia and thrombocytopenia, second trimester, fetus 4 ",4
O368225,"Fetal anemia and thrombocytopenia, second trimester, fetus 5 ",4
O368229,"Fetal anemia and thrombocytopenia, second trimester, oth ",4
O368230,"Fetal anemia and thrombocytopenia, third trimester, unsp ",4
O368231,"Fetal anemia and thrombocytopenia, third trimester, fetus 1 ",4
O368232,"Fetal anemia and thrombocytopenia, third trimester, fetus 2 ",4
O368233,"Fetal anemia and thrombocytopenia, third trimester, fetus 3 ",4
O368234,"Fetal anemia and thrombocytopenia, third trimester, fetus 4 ",4
O368235,"Fetal anemia and thrombocytopenia, third trimester, fetus 5 ",4
O368239,"Fetal anemia and thrombocytopenia, third trimester, oth ",4
O368290,"Fetal anemia and thrombocytopenia, unsp trimester, unsp ",4
O368291,"Fetal anemia and thrombocytopenia, unsp trimester, fetus 1 ",4
O368292,"Fetal anemia and thrombocytopenia, unsp trimester, fetus 2 ",4
O368293,"Fetal anemia and thrombocytopenia, unsp trimester, fetus 3 ",4
O368294,"Fetal anemia and thrombocytopenia, unsp trimester, fetus 4 ",4
O368295,"Fetal anemia and thrombocytopenia, unsp trimester, fetus 5 ",4
O368299,"Fetal anemia and thrombocytopenia, unsp trimester, oth fetus ",4
O368910,"Maternal care for oth fetal problems, first trimester, unsp ",4
O368911,"Maternal care for oth fetal problems, first tri, fetus 1",4
O368912,"Maternal care for oth fetal problems, first tri, fetus 2 ",4
O368913,"Maternal care for oth fetal problems, first tri, fetus 3 ",4
O368914,"Maternal care for oth fetal problems, first tri, fetus 4 ",4
O368915,"Maternal care for oth fetal problems, first tri, fetus 5 ",4
O368919,"Maternal care for oth fetal problems, first trimester, oth ",4
O368920,"Maternal care for oth fetal problems, second trimester, unsp ",4
O368921,"Maternal care for oth fetal problems, second tri, fetus 1 ",4
O368922,"Maternal care for oth fetal problems, second tri, fetus 2 ",4
O368923,"Maternal care for oth fetal problems, second tri, fetus 3 ",4
O368924,"Maternal care for oth fetal problems, second tri, fetus 4 ",4
O368925,"Maternal care for oth fetal problems, second tri, fetus 5 ",4
O368929,"Maternal care for oth fetal problems, second trimester, oth ",4
O368930,"Maternal care for oth fetal problems, third trimester, unsp ",4
O368931,"Maternal care for oth fetal problems, third tri, fetus 1 ",4
O368932,"Maternal care for oth fetal problems, third tri, fetus 2",4
O368933,"Maternal care for oth fetal problems, third tri, fetus 3 ",4
O368934,"Maternal care for oth fetal problems, third tri, fetus 4 ",4
O368935,"Maternal care for oth fetal problems, third tri, fetus 5 ",4
O368939,"Maternal care for oth fetal problems, third trimester, oth ",4
O368990,"Maternal care for oth fetal problems, unsp trimester, unsp ",4
O368991,"Maternal care for oth fetal problems, unsp tri, fetus 1 ",4
O368992,"Maternal care for oth fetal problems, unsp tri, fetus 2 ",4
O368993,"Maternal care for oth fetal problems, unsp tri, fetus 3 ",4
O368994,"Maternal care for oth fetal problems, unsp tri, fetus 4 ",4
O368995,"Maternal care for oth fetal problems, unsp tri, fetus 5 ",4
O368999,"Maternal care for oth fetal problems, unsp trimester, oth ",4
O3690X0,"Maternal care for fetal problem, unsp, unsp trimester, unsp ",4
O3690X1,"Maternal care for fetal problem, unsp, unsp tri, fetus 1 ",4
O3690X2,"Maternal care for fetal problem, unsp, unsp tri, fetus 2 ",4
O3690X3,"Maternal care for fetal problem, unsp, unsp tri, fetus 3 ",4
O3690X4,"Maternal care for fetal problem, unsp, unsp tri, fetus 4 ",4
O3690X5,"Maternal care for fetal problem, unsp, unsp tri, fetus 5 ",4
O3690X9,"Maternal care for fetal problem, unsp, unsp trimester, oth ",4
O3691X0,"Maternal care for fetal problem, unsp, first trimester, unsp ",4
O3691X1,"Maternal care for fetal problem, unsp, first tri, fetus 1 ",4
O3691X2,"Maternal care for fetal problem, unsp, first tri, fetus 2 ",4
O3691X3,"Maternal care for fetal problem, unsp, first tri, fetus 3 ",4
O3691X4,"Maternal care for fetal problem, unsp, first tri, fetus 4 ",4
O3691X5,"Maternal care for fetal problem, unsp, first tri, fetus 5 ",4
O3691X9,"Maternal care for fetal problem, unsp, first trimester, oth ",4
O3692X0,"Maternal care for fetal problem, unsp, second tri, unsp ",4
O3692X1,"Maternal care for fetal problem, unsp, second tri, fetus 1 ",4
O3692X2,"Maternal care for fetal problem, unsp, second tri, fetus 2 ",4
O3692X3,"Maternal care for fetal problem, unsp, second tri, fetus 3 ",4
O3692X4,"Maternal care for fetal problem, unsp, second tri, fetus 4 ",4
O3692X5,"Maternal care for fetal problem, unsp, second tri, fetus 5 ",4
O3692X9,"Maternal care for fetal problem, unsp, second trimester, oth ",4
O3693X0     ,"Maternal care for fetal problem, unsp, third trimester, unsp ",4
O3693X1     ,"Maternal care for fetal problem, unsp, third tri, fetus 1 ",4
O3693X2    ,"Maternal care for fetal problem, unsp, third tri, fetus 2 ",4
O3693X3     ,"Maternal care for fetal problem, unsp, third tri, fetus 3",4
O3693X4    ,"Maternal care for fetal problem, unsp, third tri, fetus 4",4
O3693X5     ,"Maternal care for fetal problem, unsp, third tri, fetus 5",4
O3693X9     ,"Maternal care for fetal problem, unsp, third trimester, oth ",4
O401XX0    ,"Polyhydramnios, first trimester, not applicable or unsp ",4
O401XX1    ,"Polyhydramnios, first trimester, fetus 1",4
O401XX2,"Polyhydramnios, first trimester, fetus 2",4
O401XX3,"Polyhydramnios, first trimester, fetus 3 ",4
O401XX4,"Polyhydramnios, first trimester, fetus 4 ",4
O401XX5,"Polyhydramnios, first trimester, fetus 5 ",4
O401XX9,"Polyhydramnios, first trimester, other fetus",4
O402XX0,"Polyhydramnios, second trimester, not applicable or unsp ",4
O402XX1,"Polyhydramnios, second trimester, fetus 1",4
O402XX2,"Polyhydramnios, second trimester, fetus 2 ",4
O402XX3,"Polyhydramnios, second trimester, fetus 3 ",4
O402XX4,"Polyhydramnios, second trimester, fetus 4 ",4
O402XX5,"Polyhydramnios, second trimester, fetus 5 ",4
O402XX9,"Polyhydramnios, second trimester, other fetus",4
O403XX0,"Polyhydramnios, third trimester, not applicable or unsp ",4
O403XX1,"Polyhydramnios, third trimester, fetus 1",4
O403XX2 ,"Polyhydramnios, third trimester, fetus 2 ",4
O403XX3 ,"Polyhydramnios, third trimester, fetus 3",4
O403XX4 ,"Polyhydramnios, third trimester, fetus 4",4
